ven_d,model_d,tac_d
cat,s60,35369909
cat,s60,35813707
zte,grand x quad v987,86433801
infocus,m330,35512306
alcatel,one touch idol 3 55 6045y,35809906
lenovo,vibe b a2016b31,86257003
nokia,5 dual ta10531,35853708
intex,cloud x5,91134305
infocus,m2 3g,35571606
intex,aqua i5 octa,91141565
huawei,e5776bs860,86062200
homtom,c1,35262710
huawei,enjoy 9 dubal20,86548304
samsung,galaxy note ii tdlte 4g gtn7108d,35714005
lenovo,s870e,86652201
wiko global sasu,wiko jerry max,35697508
asus,zenfone 2 laser 55 ze550kl z00ld,35964806
lg,lucid 2 vs870,99000150
nokia,lumia 1520 rm938,35920005
allview,a4 you life,35417507
huawei,nova canl03 canl13,86240203
huawei,nova canl03 canl13,86239603
huawei,y6 ii caml32,86135103
huawei,p20 emlal002,86659604
huawei,p20 emlal002,86398404
oppo,find 7a x9076 r6006 r6001 n5116 x9006,86482602
zte,blade a512,86107003
huawei,mediapad m1 80 s8304ld,86611802
coolpad,y1,86545202
huawei,mediapad 7 youth 2 s7721g,86440102
texet,xstart tm4172 phoenix 777,35429005
micromax,x597 joy,91144970
samsung,galaxy on5 2016 4g plus smg5528,35766308
samsung,galaxy on5 2016 4g plus smg5528,35766208
allview,p7 pro,35451008
ulefone,power 3,35506209
lg,k10 lte k420pr,35903607
motorola,moto g5s dual xt1793,35566508
yezz,andy 4e2i am4e2i047,35350007
oppo,f1w,86912502
samsung,galaxy m10 dual smm105yds,35554110
samsung,galaxy m10 dual smm105yds,35554210
yezz,andy 35 e2i am35e2i047,35321907
alcatel,pop 4s dual 5095k,35706907
zte,max xl n9560,99000882
zte,q205t,86593002
kenxinda,m7,86488901
fly,stratus 6 fs407 fortuneship ss830,86227803
samsung,galaxysmt217sphl520sphl600schi545schr530sphl720schi535schi200schr960schr970schr890smp905smn9009smg730vsphl710smt217sschi435,99000434
panasonic,eluga s,35653706
blackview,a7,35244909
lg,t370 cookie smart,35255105
doogee,bl7000,35314609
intex,aqua speed,91143790
samsung,galaxyschi705schi415schi200sphl710schr530schi930schlc11schr830schr950ekgc120sphl900,99000211
asus,zenfone 3 laser zc551kl z01bd,35154308
zte,blade a310,86103903
asus,zenfone 3s max zc521tl x00gda1,35528908
asus,zenfone 3s max zc521tl x00gda1,35529108
samsung,galaxy j7 2016 lte dual smj710fndf1,35357208
samsung,galaxy j7 2016 lte dual smj710fndf1,35357308
coolpad,f1 8297l,91145075
huawei,y7 prime 2019 dubtl20,86764704
samsung,galaxy j8 smj810y1,35920209
samsung,galaxy alpha smg8508v,35477806
karbonn,k57,91132065
asus,nexus 7 4g k0092,35229106
lg,q6 m700z,35875408
archos,50e helium,35427907
intex,aqua music,91151740
meizu,m5 meilan5 m611h,86533803
meizu,m5 meilan5 m611h,86305903
huawei,p30 elel292 elel29m,86186304
huawei,p30 elel292 elel29m,86640204
lg,x style k200ar,35893207
kgtel,k30,35288505
lenovo,ideapad b8080 b8080h b8080hv,86397402
swipe,sonic eg5,91141790
swipe,sonic eg5,91141670
lg,g vista 2 h740,35307307
samsung,galaxy grand 2 duos smg7108,35962705
samsung,galaxy grand 2 duos smg7108,35903305
gionee,m6,35608701
samsung,galaxy a6 plus 2018 dual sma605gds,35212710
samsung,galaxy a6 plus 2018 dual sma605gds,35212610
lg,k10 3g k410g,35631907
micromax,canvas fire 4g q412,91145870
xolo,q700,91131045
infocus,in610,35776405
explay,alto,86079902
explay,alto,86033202
doov,t90,86367102
yezz,andy 4el2 lte am4e2l137,35456007
lg,k8 dual k350ds,35318708
lg,k8 dual k350ds,35798607
samsung,galaxy round 4g smg9105,35825305
xiaomi,redmi 3 hongmi 3 2015819,99000762
xiaomi,redmi 3 hongmi 3 2015819,86063303
asus,zenfone 5 lite zc600kl x017d,35226309
huawei,honor 7s dual dual223,86923003
videocon,infinium z45 nova plus,91143420
huawei,enjoy 8 ldnal10,86723203
htc,u play 2pzm300,35507208
lg,g flex2 h955p,35838006
huawei,mate s crrcl10 crrcl20,86804302
huawei,mate s crrcl10 crrcl20,86854102
huawei,p20 emll29,86119704
huawei,p20 emll29,86293404
htc,desire 530 dual 2pst500 2pst510,35731907
htc,desire 530 dual 2pst500 2pst510,35477507
gigabyte,gsmart akta a4,35687106
lg,g2 lte d8001,35922205
yezz,billy 4,35626706
htc,desire 816 dual 0p9c200,35224006
acer,liquid z220,35874306
blu,studio 50s ii d572a d572i,35433106
blu,studio 50s ii d572a d572i,35623605
karbonn,a91 storm,91151885
motorola,moto x xt1052 xf12348745,35321705
gionee,m5 plus marathon m5 plus1,86062303
coolpad,8190q,86084102
lava,x28,91152375
lava,x28,91155180
lg,g2 mini cdma ls855 sprint marquee,35264506
zte,blade a910 a910t,86948802
zte,blade a910 a910t,86082403
philips,xenium x518,86466900
philips,xenium x518,35724004
nokia,lumia 610 rm836 610c,35931404
oneplus,a6010,99001292
oneplus,a6010,99001249
asus,zenfone 2 laser 55 ze550kl z00ld3,35599607
lenovo,a238t,86444102
ulefone,s1,35152310
asus,zenfone 3 ze520kl z017dc,35276208
alcatel,shine lite dual 5080d,35209608
lava,a51,91153290
huawei,mu709s6,86643002
dexp,ixion el150 charger,35252207
samsung,galaxy a5 sma500w,35157507
sharp,hybrid 007sh the hybrid 007sh aquos 007sh softbank 007sh,35566304
lg,stylus 2 plus k530ar,35885907
huawei,y5 2019 amnlx91,86315304
huawei,y5 2019 amnlx91,86353004
hisense,h910,86674202
alcatel,y800z,86681401
lava,a97,91156880
lava,a97,91152635
micromax,canvas nitro 4g canvas nitro 3 e455,91143870
philips,xenium x331,86354601
telit,he910na v2,35637005
motorola,moto x4 latin america xt19004,35648608
huawei,honor 9 dual stftl10,86598203
huawei,honor 9 dual stftl10,86403403
huawei,y9 2018 flalx1,86741803
samsung,galaxy tab s2 97 ltea smt819c,35880607
lava,iris 404e,91134715
highscreen,omega prime mini se,35681806
asus,zenfone 2 ze550ml z008db z008dc,35786906
asus,zenfone 2 ze550ml z008db z008dc,35786806
wiko,highway star 4g,35902406
oppo,find 5 mini r827t,86322402
oppo,find 5 mini r827t,86689002
samsung,galaxy tabq smt2519,35356106
samsung,galaxy tabq smt2519,35356206
huawei,mate 8 nxtdl00,86840602
samsung,galaxy note pro 122 ltea att smp907a,35212506
blu,dash m d030l d030u,35529907
myphone,smartview 8 lte,35419709
myphone,smartview 8 lte,35419809
asus,zenfone 3 deluxe zs570kl z016s,35403008
lg,x screen dual k500dsf,35799407
samsung,galaxy s10e dual smg970u1ds,35485310
samsung,galaxy s10e dual smg970u1ds,35485410
motorola,moto x style xt15723,35898206
archos,diamond 2 plus,35991907
samsung,w2018,35240709
samsung,w2018,35240809
nony,s333,35770104
nony,s333,86938800
samsung,galaxy s glide sghi927r,35913704
blu,studio 55 k,35814106
oppo,a37m1,86187303
lg,c365,35811904
vivo,x7l,86148803
elephone,s3,35998307
huawei,honor 6c pro dual jmml22,86884503
huawei,honor 6c pro dual jmml22,86555603
sony,xperia xa ultra f3216 pm0953bv,35606007
intex,aqua joy,91151475
alcatel,one touch flash 2 dual 7049d,35875507
alcatel,one touch flash 2 dual 7049d,35809206
micromax,q333,91145725
lenovo,vibe shot z907,86660702
lenovo,s920,86007102
lenovo,s920,86276702
lg,k10 2017 m250y,35494608
lg,magna lte h520g,35190707
lg,x power dual k220dsk,35894107
motorola,moto x style moto x pure edition xt1575 c5l1a3r7k,35548606
allview,s8 style,35976409
meizu,m1 note m2 note m2,99000619
phicomm,e653,86833302
samsung,galaxy tab a 80 smt357t,35196907
asus,zenfone 3 max zc520tl x008,99000823
asus,zenfone 3 max zc520tl x008,35879407
micromax,gc333,91130250
huawei,mediapad 10 link s10232l,86510702
philips,w820,86190100
karbonn,a60,91142730
fly,nimbus 7 fs505 fortuneship cf289 fortuneship cf281,86993702
fly,nimbus 7 fs505 fortuneship cf289 fortuneship cf281,86030903
micromax,canvas tab p680,91142400
htc,desire 830 2pvd300,35725707
microsoft,lumia 640 xl rm1064,35778706
alcatel,scribe easy 8000x,86948901
samsung,galaxy ace 2 gti8160l,35205305
xiaomi,mi 5x mdt2,99001023
xiaomi,mi 5x mdt2,86739603
meizu,m3 dual m688c,86996802
samsung,galaxy s5 4g smg900z,35189706
alcatel,a5 led dual 5085d,35433308
intex,aqua 3g neo,91146255
lg,optimus l9 ii d605,35837905
lava,z81,91163650
lava,z81,35188410
lava,a55,91153700
hisense,c201 kingkong ii,86753202
asus,padfone infinity 2,35665105
karbonn,titanium s8,91141220
myphone,metro plus,35477907
lg,optimus g 4g lgl21,35388305
samsung,galaxy r style shve170l,35206205
sony,xperia m4 aqua dual e2363,35386307
sony,xperia m4 aqua dual e2363,35219807
samsung,galaxy a3 lte sma300yl,35800406
huawei,p8 max dav702l,86871802
motorola,moto x m0d9f,35331106
huawei,honor 8x jsntl00,86909303
huawei,honor 8x jsntl00,86895304
xolo,one hd,91147685
xiaomi,mi 8 m1803e1c,86870803
xiaomi,mi 8 m1803e1c,99001185
lava,iris 351,91125825
huawei,ea360123,86549202
doogee,x50,35790309
doogee,x50,35756309
lg,cougar a350,35798404
acer,liquid z1,35397805
htc,one s9 2prg200,35435407
samsung,galaxy a6 2018 sma600fn,35247210
samsung,galaxy s ii skyrocket hd lte sghi757m,35230305
lava,iris 460,91138730
zte,blade a476,86822002
samsung,galaxy tab s2 80 ltea smt715c,35971206
huawei,honor 5c dual neml21,86785704
huawei,honor 5c dual neml21,86089903
meizu,m5c,86470303
meizu,m5c,86674503
lyf,wind 5 ls5013,91150150
xiaomi,redmi note 4g dual 2014912,86779302
xiaomi,redmi note 4g dual 2014912,86084903
samsung,galaxy j7 2016 lte dual smj710fndf,35437508
samsung,galaxy j7 2016 lte dual smj710fndf,35445108
alcatel,hero dual 8020d,86264202
micromax,bolt q300,91153780
micromax,bolt q300,91150720
alcatel,2004 2004c 2004g,86618002
fly,era life 7 iq4505,35711006
fly,era life 7 iq4505,35691606
alcatel,one touch pop d1 dual 4018d,86474402
panasonic,t21,35985808
panasonic,t21,35701005
asus,zenfone selfie zd551kl z00ud,35268807
lenovo,moto g4 plus xt1644 af12691845,35411307
lenovo,moto g4 plus xt1644 af12691845,35818407
micromax,bolt q381,91147460
micromax,bolt q381,91155160
alcatel,pixi 4 50 5010x,35765107
sony,xperia z5 premium dual e6833 pm0912bv,35218807
asus,zenfone 4 max zc520kl x00hd,35434309
asus,zenfone 4 max zc520kl x00hd,35840908
samsung,galaxy music gts6010,35426805
huawei,e3276s601,86750001
gionee,p7 max,86173603
gionee,p7 max,86627003
xiaomi,mi 8 m1807e8s,99001231
xiaomi,mi 8 m1807e8s,86571204
htc,u11 plus 2q4d200,35998408
sony,xperia tablet z 4g so03e sgp351,35758905
spice,carnival qt59,91111690
freetel,samurai kiwami ftu152d,35774607
huawei,mediapad t1 80 s8701u,86450502
huawei,e3276s503,86240302
huawei,ascend y330 y330u08,86748102
samsung,smp351,35894206
lg,optimus white p970s,35908604
fujitsu,arrows micro docomo f07d,35794204
huawei,p9 plus dual vieal102,86245503
blu,studio view,35530109
samsung,galaxysphl710sphl900schi605schi535schr530schr950sphl300sphp500schr820schr830,99000209
vivo,y37a,86896802
huawei,ascend g500 u8836d,86606401
huawei,ascend g500 u8836d,86625301
haier,i617,86462801
mobiwire mobiles ningbo co ltd,sagetel draco,86360801
huawei,honor 8x jsnal001,86909503
alcatel,pixi 3 45 lte 5017d,35169007
samsung,galaxy note 4 tdlte duos smn9109w,35478006
samsung,galaxy note 4 tdlte duos smn9109w,35478106
freetel,priori 3s lte ftj152b1,35848507
asus,zenfone 2 laser 55 ze550kl z00ld4,35805807
xiaomi,mi mix 3 5g m1810e5gg,86557804
lenovo,k6 k33b37,86159203
lg,x style dual k200dsk,35479108
videocon,infinium z41 lite plus,91145990
alcatel,tcl m2u,35167907
sony ericsson,xperia acro hd soi12,35190705
lg,g3 f400k,35316706
motorola,razr m0c2e xt910 xt910s xt910k,35319705
sony,xperia xa1 g3123 pm1004bv,35744408
micromax,bolt a61,91133470
lg,a390 dual sim,35394606
lg,a390 dual sim,35661005
samsung,galaxy note 5 duos smn9209,35257307
samsung,galaxy note 5 duos smn9209,35257407
cubot,p11,35467507
motorola,moto g6 plus dual xt192610 xt192611,35185609
motorola,moto g6 plus dual xt192610 xt192611,35187009
lg,max x150 prime ii bello ii,35152207
blu,studio g mini,35224109
myphone,fun,35847205
huawei,ascend w1 w1u00,86862401
freetel,samurai rei ftu161b,35842107
nokia,ta1041,35339609
nokia,ta1041,35853008
huawei,y6 pro titu02,86419203
jinga,basco xs1,35347807
zte,mf910l,86546102
huawei,enjoy 7s figtl00 figtl10,86583603
huawei,enjoy 7s figtl00 figtl10,86583303
lenovo,moto g5 dual xt1671,35188709
lenovo,moto g5 dual xt1671,35186408
philips,xenium w625,86974700
huawei,ascend g620s g620sl01,86538802
htc,desire 828 dual d828d,35253107
huawei,honor 5c dual neml51,86117603
huawei,honor 5c dual neml51,86491203
lava,a71,91149700
leeco,le max,86818902
huawei,p30 lite marlx3a,86796104
huawei,p10 lite dual wastl10,86663903
huawei,p10 lite dual wastl10,86327103
samsung,galaxy a6 sma600p,35783009
alcatel,idol 4 dual 6055k,35613307
lenovo,moto c dual xt1758,35649708
lenovo,moto c dual xt1758,35956208
zte,axon 7 a2017u,99000678
huawei,honor 6x blnl22,86406803
huawei,e5180s517,86541002
htc,desire 700 dual 7060a 0p4o100,35914905
htc,desire 700 dual 7060a 0p4o100,35994805
asus,zenfone 4 selfie zb553kl zenfone live plus x00ldb,35992008
htc,desire 700 dual 7088,35163606
htc,desire 700 dual 7088,35715905
zte,axon 7 a2017,86991502
intex,aqua young,91150070
intex,aqua young,91147375
spice,xlife 431q,91145115
karbonn,titanium jumbo,91160205
nokia,81 dual ta1119,35696509
huawei,mediapad m2 80 m2802l,86710502
huawei,y7 prime 2019 dublx3,86649204
huawei,y7 prime 2019 dublx3,86369704
hisense,c20 kingkong ii,86058303
xolo,q2000l,91137220
myphone,city xl,35258609
videocon,z55 dash,91146030
lg,gx f310l,35843205
huawei,g6008,35770304
lg,joy dual h222f,35985806
lg,joy dual h222f,35585007
xiaomi,redmi note 4g 2014022,86924002
huawei,y5 lite 2018 cagl03 cagl23,86835603
huawei,y5 lite 2018 cagl03 cagl23,86835403
nokia,ta1039,35601908
lg,g5 h858,35967107
coolpad,5216d,86124802
huawei,y5ii lte dual cunl221,86403703
huawei,y5ii lte dual cunl221,86231003
huawei,enjoy 6s digtl10,86536903
huawei,enjoy 6s digtl10,86274703
vivo,nex,86950003
htc,desire 500 0p3z111,35798305
huawei,g7005,86786400
sony,xperia z3 tablet compact tdlte sgp641,35604806
fly,cirrus 1 fs502,35344707
samsung,galaxy wide 2 smj727s,35781808
beeline,e600,86010202
lg,wine smart f486,35723406
samsung,galaxy s6 edge tdlte sc04g sghn516,35232307
samsung,galaxy s6 edge tdlte sc04g sghn516,35756906
lg,optimus 4x hd p880,35296705
htc,status ph06120,35574504
micromax,x806,91147090
samsung,galaxy tab a 80 smt355,35853706
mts,smart run 4g,86770002
explay,b242,35486305
xiaomi,redmi note 2 pro 2015056,86851202
huawei,y3ii lte dual lual221,86443303
blackberry,porsche design p9982 rge111lw,35794305
gionee,p5 mini 56171,86969802
huawei,e5730s6,86510902
zte,prestige,99000676
nokia,ta1054,35854808
blu,dash c music d390l d390u,35743306
huawei,ascend g620 3g g620ul01,86616002
nokia,5 dual ta10532,35727808
samsung,galaxy s4 mini tdlte gti9197z,35964905
xolo,q1000 opus,91135100
haier,w856,86071702
fly,ds120 tinno e205,86762601
fly,ds120 tinno e205,86065900
coolpad,8185,86741700
xiaomi,redmi 2 hongmi 2 20148181,86751202
xiaomi,redmi 2 hongmi 2 20148181,86639202
micromax,canvas xpress 2 e313,91144175
nokia,ta1088,35694509
intex,cloud matte,91153965
xiaomi,mi4c 20155621,86858302
lenovo,a828t,86297402
asus,zenfone max plus zb570tl x018d2,35342709
asus,zenfone max plus zb570tl x018d2,35342809
micromax,x251,91135470
zte,axon 7 mini b2017g,86093503
sony,xperia tipo dual st21a2,35381005
sony,xperia tipo dual st21a2,35485605
mts,smart start 2g,86009203
samsung,galaxy a8s dual smg88701,35426010
samsung,galaxy a8s dual smg88701,35425910
coolpad,y75 dual tdlte,86651202
coolpad,y75 dual tdlte,86887202
huawei,gr3 2017 dual digl21 digl21hn,86373403
huawei,gr3 2017 dual digl21 digl21hn,86302303
xolo,q2500,91135670
lg,v10 lra rs987,35586307
lg,g flex2 h955a,35880706
micromax,x2814,91138505
asus,zenfone 5 lite zc600kl x017da,35227409
asus,zenfone 5 lite zc600kl x017da,35374909
htc,one su t528w,35394705
htc,one su t528w,35358905
iball,supremo big 24d,91143155
spice,m6400,91110935
huawei,ascend mate 2 mt2u071,86275702
huawei,ascend g716 g716l070,86237202
blu,studio 50 lte2,35150207
zte,v811 smart 2 kis 3,86520202
qmobile,a110,35361406
micromax,x345,91137405
panasonic,t30,35198108
fly,quad energie 2 iq4411,86129902
oppo,r7 r7f,86704302
xolo,q1001,91141830
huawei,e8278s602 e8278s603,86368202
coolpad,9120,86592901
samsung,galaxy grand max lte smg720ax3,35755706
micromax,bolt a82,91137550
prestigio,multiphone 5430,35745205
huawei,e5377ts32,86507602
alcatel,one touch pixi first 4024d,35845207
alcatel,one touch pixi first 4024d,35293007
huawei,honor magic 2 tnyal003,86435904
spice,xlife 515q mi515q,91148480
artel,style,35705706
tecmobile,r30,35268605
wiko global sasu,wiko view,35248009
huawei,honor 7 play duatl00,86246504
huawei,honor 7 play duatl00,86817203
micromax,canvas selfie lens q345,91143260
huawei,honor 5x lte kiil05,86037503
samsung,galaxy j1 smj100ml,35811006
asus,zenfone 2 laser 55 ze550kl z00ldc,35965006
huawei,ascend p1 4g u9202l3,86550401
huawei,y6 ii caml23,86110303
micromax,x249,91136955
micromax,x249,91141960
huawei,ascend y221 y221u22,86524402
huawei,ascend y221 y221u22,86701402
lg,t530,35734904
lenovo,z2 pro zuk z2 pro,86098803
panasonic,eluga icon 2,35808907
motorola,a1680 lucky refresh,35156304
blu,vivo air d980l,35845306
posh mobile,kick x511,35677707
simcom,sim800w,86004002
coolpad,8670,86483702
asus,zenfone selfie dual zb551kl x013d1,35392608
asus,zenfone selfie dual zb551kl x013d1,35949207
myphone,halo mini,35459208
bq mobile,aquaris m45 8gb,35954406
micromax,smarty a25,91123745
sony,xperia z3 tdlte 401so,35523806
samsung,galaxy j2 lte dual smj200gds,35390707
samsung,galaxy j2 lte dual smj200gds,35390807
philips,xenium x623,86831300
lg,x screen dual k500dsz,35799607
samsung,galaxy ace 3 duos gts7278,35917105
huawei,p9 lite 2017 dual pralx1,86255003
alcatel,one touch pop c3 dual ot 4033e,86584802
alcatel,one touch pop c3 dual ot 4033e,86430302
huawei,ascend w2 w2u00,86714801
huawei,ascend g302d u8812d,86368301
huawei,ascend g302d u8812d,86334501
sony,xperia xa1 ultra g3226 pm1013cv,35812108
nokia,ta1061,35338709
doogee,s80 lite,35351210
panasonic,p91,35415709
acer,iconia tab a3a11,35894105
jinga,simple f115,35552907
kyocera,digno s kyl21,35337405
huawei,gr5 2017 dual blll21,86249703
samsung,galaxy tab 4 80 lte smt335f3,35420706
meizu,mx4 pro m4622,86732402
prestigio,multipad wize 3331 pmt33313g,35663107
doro,phoneeasy 605,35795104
prestigio,wize c3 psp3503duo,35337407
huawei,honor 6c pro dual jmmtl00 jmmtl10,86555503
huawei,honor 6c pro dual jmmtl00 jmmtl10,86555403
bq mobile,bqs5070 magic,35413408
asus,wirelessn300 lte 4gn12,35523606
archos,40 power,35827507
alcatel,1x 2019 5008i,35170010
blu,life 8 l280a l280i,35181205
blu,life 8 l280a l280i,35378906
huawei,me209u526d,86615802
karbonn,titanium s15 plus,91144295
nokia,1 dual ta1056,35448009
nokia,1 dual ta1056,35287810
apple,iphone 7 plus a17851,35915107
wiko,freddy dual,35298108
bq mobile,aquaris e50 hd 16gb,35387506
bq mobile,aquaris e50 hd 16gb,35777206
lg,phoenix 2 k371,35488507
blu,studio 50 d520 d530,35730805
swipe,elite power,91155410
asus,zenfone 3 laser zc551kl z01bs,35412508
karbonn,titanium vista 4g,91158245
alcatel,one touch fierce xl 5054x,35273007
lenovo,a375 multiple a776,86222602
lenovo,a375 multiple a776,86229802
acer,liquid zest plus t08,35872407
lg,k7 3g dual x210ds,35623707
lg,k7 3g dual x210ds,35799408
vivo,x3s bbk x3s,86740802
vivo,x3s bbk x3s,86407802
myphone,titan,35279308
lg,x skin f740l,35896307
intex,aqua classic,91152150
htc,desire 728 2pq8110,35158508
intex,aqua life iii,91146440
spice,m5180,91114180
spice,m5180,91112275
motorola,moto e5 dual xt19445,35552909
motorola,moto e5 dual xt19445,35954109
zte,axon m dual z999,86787603
asus,zenfone 2 laser 50 ze500kl z00eda,35909706
samsung,galaxy a9 pro 2016 sma910f,35172008
samsung,galaxy tab s2 80 ltea smt715no,35155307
lenovo,moto e4 dual xt17651,35567408
huawei,p10 lite dual waslx2,86345303
sony,xperia z5 compact e5803 pm0881bv,35219007
motorola,moto g xt1003 dv12404545,35931705
huawei,honor 8x jsnal00a1,86428804
huawei,honor 8x jsnal00a1,86446904
lenovo,vibe b dual a2016b30,86370503
lenovo,vibe b dual a2016b30,86256903
huawei,e5776s860,86739801
panasonic,eluga ray,35802808
lg,g4 as986,35250207
samsung,galaxy s4 4g gti9505g,35763105
micromax,bolt a66,91133590
huawei,ascend y550 y550l02,86517102
nony,s332,35752604
lg,g4 dual h818p,35659107
lg,g4 dual h818p,35949206
alcatel,pixi 3 40 ot4014e,35238707
beeline,e400,35755704
asus,live l1 za550kl2 x00rd,35629009
samsung,galaxy core prime lte dual smg36081,35537306
samsung,galaxy core prime lte dual smg36081,35537206
explay,a240 tinno b1100,86300702
explay,a240 tinno b1100,86360502
bq mobile,bqs4002 boston,35250005
asus,zenfone 4 selfie pro zd552kl z01mda,35784008
vivo,v3max1,86126903
vivo,v3max1,86141003
huawei,e3372 e3372h510,86665802
sharp,aquos p1,35611107
samsung,galaxy ace 4 neo duos smg318mzds,35270807
samsung,galaxy ace 4 neo duos smg318mzds,35270907
samsung,galaxy beam 2 smg3858,35903405
samsung,schw999,35820104
samsung,schw999,35536606
motorola,motosmart me xt303 m0d5f,35318605
lg,g pad 80 p490s,35541306
xolo,black 1x,91148255
sony,xperia sp dual m35c,35619305
sony,xperia sp dual m35c,35619205
lenovo,a355e,86612902
lenovo,a355e,86552902
huawei,y5 2017 dual myal23,86265403
huawei,y5 2017 dual myal23,86943403
htc,desire 516 dual d516t,35272006
beetel,gd303 star,91110180
philips,xenium w8510,86673201
prestigio,multipad 70 wize 3047 3g pmt3047,35691306
asus,pegasus 2 plus x550,35217907
zen,admire swadesh,91156510
coolpad,5213,86896901
huawei,astro tmobile summit u8651s,86623201
lenovo,s60 dual,86762702
lenovo,s60 dual,86724902
blu,advance 50 hd,35184608
blu,advance 50 hd,35225708
huawei,honor 6 plus pintl00m,86558702
huawei,honor 6 plus pintl00m,86558602
lenovo,k3 note k50t3,86604502
blu,vivo 8,35979608
lenovo,a858t,86552502
coolpad,w713,86059100
meizu,m3 m688q,86185103
lg,l40 dual d170,35287506
huawei,ascend y221 y221u53,86709602
microsoft,lumia 950 xl rm10851,35976306
samsung,galaxy tab pro s smw708,35782807
lenovo,s820,86280802
lenovo,s820,86036502
coolpad,8017t00,86750102
huawei,y9 2019 jkmlx1c,86047804
huawei,y9 2019 jkmlx1c,86996304
samsung,galaxy core 2 smg3559,35320706
lg,g3 beat f470k,35387306
intex,elyt dual,91160695
vivo,y51l3,86188203
lenovo,vibe k5 plus a6020,35821507
micromax,x329,91141645
micromax,x329,91135605
asus,zenfone 2 ze550ml z0081,35264807
asus,zenfone 2 ze550ml z0081,35238407
panasonic,eluga a4,35315909
zte,axon 7 mini b2017,86080203
prestigio,multipad 2 pro duo 80 3g pmp7380,35760005
asus,zenfone 4 max zc554kl3,35283609
htc,one m8 dual m8d,35156506
samsung,smg9298,35780908
samsung,smg9298,35780808
lg,optimus f5 lgas870,99000249
swipe,konnect 51,91146825
htc,one m9 prime camera edition 2prg100,35407307
philips,xenium x5500,86010301
huawei,p20 emlal001,86948003
pantech,vega no 6 ima860l,35534105
htc,desire 601 0p4e210,35798505
karbonn,titianium mach two s360,91143685
lava,iris x8,91143380
lava,iris x8,91145145
vivo,x6 plus a,86902102
vivo,x6 plus a,86043903
huawei,mate 20 pro ud lyatl00,86909404
micromax,canvas fun a63,91133165
huawei,e5172cs930,86347402
lg,g6 lgmg600l,35540408
kazam,trooper x55,35219806
lg,optimus l4 ii tri e470f,35976205
lg,optimus l4 ii tri e470f,35733405
lg,optimus l4 ii tri e470f,35319006
intex,aqua amaze,91140425
intex,aqua amaze,91139695
htc,u11 plus 2q4d100,35998208
intex,aqua lions t1,91160165
stark,impress winner,35932607
huawei,y635 lte y635l02,86643902
meizu,x meilan x m3x m682q,86229803
meizu,x meilan x m3x m682q,86466103
huawei,y625 y625u21,86633702
meizu,m2 note m571u,86859602
karbonn,k451 plus sound wave,91141950
karbonn,k451 plus sound wave,91149640
acer,liquid z530s1,35506207
lg,k4 2017 dual m160e,35484408
zte,small fresh 3 c880,86840802
alcatel,1040d dual ot 1041d dual ot 1045d dual,86353802
alcatel,1040d dual ot 1041d dual ot 1045d dual,86044902
htc,10 lifestyle 2ps6300,35431207
asus,zenfone 3 ultra zu680kl,35879707
asus,zenfone 3 ultra zu680kl,35879607
htc,desire s pg88110,35640204
lg,magna lte h520f,35400007
huawei,ascend g610 g610c00,86062402
lg,l90 dual d410,35624706
lg,l90 dual d410,35259506
zte,mf920t,86116503
huawei,me909s120,86737702
karbonn,a50,91132225
samsung,galaxy note 9 dual smn9608ds,35663309
samsung,galaxy note 9 dual smn9608ds,35663209
motorola,moto e5 play xt19213,35414609
huawei,honor 8 frdl02,86192403
zte,blade s6 dual ls5008,86171603
zte,blade s6 dual ls5008,86877902
huawei,honor 8x jsnl4,86247604
huawei,honor 8x jsnl4,86310104
huawei,e5573 e5573cs509,86500403
coolpad,8089,86491002
alcatel,one touch pop c9 7047d,86325502
alcatel,one touch pop c9 7047d,86709502
blackview,bv7000,35737308
maxcom,classic mm330 3g,35558308
sony,xperia xz1 g8342 pm1050bv,35835108
digma,hit 3g hantel htw70,86176800
samsung,galaxy mega 2 smg750a,35341706
lg,q6 dual m700tv,35875608
lg,q6 dual m700tv,35513909
karbonn,quattro l45 ips,91150455
lg,gentle f580l,35216807
lg,g5 sprint ls992,35560207
lg,g pad 80 lgt01,35416607
iball,tarang 28j,91143195
ark,benefit s502,35212708
ark,benefit s502,35344206
asus,zenfone 5 ze620kl x00qd1,35470809
sony,xperia sp tdscdma m35ts,35793205
huawei,e5577 e5577ds156,86141503
huawei,e5776s22,86925901
zte,axon mini premium edition b20161,86097703
samsung,galaxy note edge tdlte scl24 smn915j,35584006
lyf,earth 1 ls55011,91152680
wiko global sasu,wiko sunny max,35550808
oppo,a312,86160103
motorola,moto x style xt1572 indr001145,35895106
nokia,8 ta1012,35602808
blu,grand m,35707908
huawei,e303 e303s63,86336901
highscreen,pure j,35349107
alcatel,991,86260101
huawei,honor 8 frdl04,86077103
samsung,galaxy j6 plus dual smj605mds,35764409
samsung,galaxy j6 plus dual smj605mds,35764509
samsung,galaxy j3 2018 smj337t1,35427209
wiko,rainbow lite 4g,35159707
wiko,rainbow lite 4g,35675007
sony,xperia z 4g c6606 pm0520bv,35676805
prestigio,multipad muze 3g pmt5008,35682006
alcatel,1c 5009d,35542709
highscreen,alpha gtr,35756804
highscreen,alpha gtr,35756704
explay,golf,86297602
alcatel,y580j,86557701
htc,desire 700 dual 709d,35720405
htc,desire 700 dual 709d,35163706
acer,liquid z630s1,35484307
